plan,district,modelled_outcome_22,GOV_22,USS_22,WAG_22,WST_22,PRE_20,GOV_18,USS_18,WAG_18,PRE_16,USS_16,GOV_14,WAG_14,GOV_12,PRE_12,USS_12
evers24_wsa,1,-18.263989815630293,-10.630753100492306,-16.219849706809352,-11.055017303305165,-15.47213906806732,-14.59382871536523,-12.312966582294704,1.3826811151483986,-11.156396571243738,-14.87610698631362,-18.328003108467584,-16.45724258289703,-13.887289477472292,-21.15157821713493,0.0650752802674015,1.171640896559989
evers24_wsa,10,71.02807489246545,72.47608490372377,71.34225996080993,70.81500539463856,69.56393635827932,70.63657005268381,65.24443021375741,70.30587672188852,64.35600196245579,68.75325671640113,62.01359365867861,61.77453604073331,59.965143930134325,61.07646057224616,66.339752528069,62.81475966600985
evers24_wsa,11,77.95364295802865,78.54339293501963,78.5042708781417,77.16282584057423,77.41337424881729,76.45315706902082,76.23627419771638,80.80456755538056,74.65796744772143,78.5297118832502,74.03190432641352,75.8608623246982,74.02676365503157,75.65688405136116,80.92327205545703,76.85833464396657
evers24_wsa,12,58.722896255817474,59.634373413079054,58.205701509223026,58.04255319148937,57.74275195582145,57.536216654773156,54.28095981213538,60.5254653997671,53.016070206843146,54.75544813586439,49.135091847330756,46.24364400663306,44.35843057665126,45.8339421899006,54.40649412108027,51.125925723374145
evers24_wsa,13,15.098792253708453,18.430784197407245,13.742800403867744,14.710535287370686,11.075882768600637,15.505475986793076,-3.879221967536833,5.1343836813227846,-3.5687886129332993,4.078716823571227,-11.457270153468357,-23.011708242058678,-23.95235410967732,-25.09198588453189,-14.880358107702014,-16.734277901220523
evers24_wsa,14,13.492212781204561,14.773883184161734,11.169075746075713,12.841953156285824,10.780690526590986,9.822941235092847,3.6475095785440614,13.71148351224033,2.9872198267490155,1.5789295736552023,-3.7791990150141954,-9.787630547035754,-10.546580399317268,-9.393627738948613,2.5116488510688653,0.9556158416289873
evers24_wsa,15,-22.588608511948713,-13.450860705760798,-18.971707547031215,-17.009899774780475,-20.86036693464394,-14.03822713244638,-30.07783874602838,-19.936512098775545,-29.536890041451535,-22.175058046019064,-34.72357021811312,-46.04516795326935,-47.527108855471994,-46.6271593633512,-34.63230804208452,-35.66025137170726
evers24_wsa,16,81.43929813006079,83.23414602930825,83.23754184298616,80.4408247689225,79.87153437766271,79.64714123106559,79.63063821359607,82.8524929723332,77.61261715207095,77.99207070289916,70.42727040599199,79.3120178545437,76.96457654723126,84.23406974621143,79.2294108203564,75.22228209618753
evers24_wsa,17,69.53753557324487,70.47640861200183,70.1312860582383,68.75028811137234,68.19158878504673,68.391543814518,64.83277336591325,69.8045775986617,63.67117988394584,66.51632087133741,60.87369420702754,60.63415538661228,59.44908814589665,59.523322666360315,65.28103883862725,62.08492383295903
evers24_wsa,18,67.56123703782707,69.18916236601827,68.28955797565663,66.89006702010603,65.76626799108047,67.20716799071353,63.83697994497268,68.28086973008818,62.66140505677309,66.50327964557884,58.90125715736985,60.04998924547588,58.11844409730185,60.71757260355687,66.41506558323596,62.64124641839103
evers24_wsa,19,65.62268154449842,68.26495132127955,66.43816645893921,65.46218487394957,63.0143286750398,61.008325624421836,54.2750450682462,60.200270461716784,55.34656687276277,51.61055505004549,42.43375496260733,37.62363893275704,36.95892507866315,36.6037583676103,41.427016498625115,35.59457302474062
evers24_wsa,2,-25.563711952351806,-20.503167372382837,-25.185921367857727,-20.126901402089658,-25.072520597348973,-23.096351093270584,-22.847593037702268,-9.015981927069971,-21.244604046934185,-22.639292384318665,-26.68321499934299,-29.329985281131314,-25.505329695970836,-32.17244220084781,-9.525418855062412,-8.588010983425153
evers24_wsa,20,25.157755746197484,26.367193351667456,22.73937984721434,24.988733060708434,23.080053694619586,18.382547766950275,17.431701567050332,27.091911508130366,17.134229837435488,13.97354983984016,11.395974875016018,7.016459315354295,5.842439543966233,5.8479532163742745,17.365483899847806,16.41868406610159
evers24_wsa,21,8.066449360269738,9.372222727162177,5.4057645952592495,7.797973175912426,4.874757104942712,4.635562374033631,0.28182593540252987,10.867780928219673,0.06750928252634569,0.23050066099454258,-5.387760711954087,-10.179690764730465,-10.453185121846948,-8.834257586290766,0.7580531814852853,0.21376088661208548
evers24_wsa,22,-17.973472837162912,-10.0316490113441,-14.985576319970988,-13.542177382260212,-17.24228072212493,-11.122533410224905,-26.061025934516103,-14.993197278911557,-24.589070176502698,-18.32631669387404,-31.127170932358318,-39.79380755371681,-39.952275438895526,-40.849403836200445,-29.745930025021316,-30.572720399665766
evers24_wsa,23,25.784485853853482,29.226084026106125,24.78218176138987,25.677104790853445,21.95062503979015,27.31551204926616,8.939399100890395,19.364786789834387,11.305177701673463,17.855984010693838,1.2785970118951384,-8.91976539170914,-8.391650529916223,-11.619051002641772,-2.4136718270757584,-5.4174657030626125
