plan,district,race,votes
legis_wsa,2,WSTTOT22,27418
legis_wsa,20,GOVDEM22,18150
legis_wsa,20,GOVREP22,9105
legis_wsa,20,GOVTOT22,27556
legis_wsa,20,USSDEM22,17759
legis_wsa,20,USSREP22,9700
legis_wsa,20,USSTOT22,27541
legis_wsa,20,WAGDEM22,17924
legis_wsa,20,WAGREP22,9307
legis_wsa,20,WAGTOT22,27256
legis_wsa,20,WSTDEM22,17155
legis_wsa,20,WSTREP22,9179
legis_wsa,20,WSTTOT22,26921
legis_wsa,21,GOVDEM22,12806
legis_wsa,21,GOVREP22,12558
legis_wsa,21,GOVTOT22,25628
legis_wsa,21,USSDEM22,12347
legis_wsa,21,USSREP22,13185
legis_wsa,21,USSTOT22,25582
legis_wsa,21,WAGDEM22,12500
legis_wsa,21,WAGREP22,12736
legis_wsa,21,WAGTOT22,25260
legis_wsa,21,WSTDEM22,11789
legis_wsa,21,WSTREP22,12742
legis_wsa,21,WSTTOT22,25058
legis_wsa,22,GOVDEM22,13226
legis_wsa,22,GOVREP22,21909
legis_wsa,22,GOVTOT22,35396
legis_wsa,22,USSDEM22,12449
legis_wsa,22,USSREP22,22830
legis_wsa,22,USSTOT22,35333
legis_wsa,22,WAGDEM22,12686
legis_wsa,22,WAGREP22,22322
legis_wsa,22,WAGTOT22,35020
legis_wsa,22,WSTDEM22,11628
legis_wsa,22,WSTREP22,22334
legis_wsa,22,WSTTOT22,34539
legis_wsa,23,GOVDEM22,21992
legis_wsa,23,GOVREP22,12278
legis_wsa,23,GOVTOT22,34478
legis_wsa,23,USSDEM22,21262
legis_wsa,23,USSREP22,13112
legis_wsa,23,USSTOT22,34454
legis_wsa,23,WAGDEM22,21284
legis_wsa,23,WAGREP22,12908
legis_wsa,23,WAGTOT22,34215
legis_wsa,23,WSTDEM22,20190
legis_wsa,23,WSTREP22,13181
legis_wsa,23,WSTTOT22,33770
legis_wsa,24,GOVDEM22,13615
legis_wsa,24,GOVREP22,18395
legis_wsa,24,GOVTOT22,32278
legis_wsa,24,USSDEM22,12889
legis_wsa,24,USSREP22,19318
legis_wsa,24,USSTOT22,32244
legis_wsa,24,WAGDEM22,13156
legis_wsa,24,WAGREP22,18872
legis_wsa,24,WAGTOT22,32041
legis_wsa,24,WSTDEM22,12145
legis_wsa,24,WSTREP22,18980
legis_wsa,24,WSTTOT22,31695
legis_wsa,25,GOVDEM22,9903
legis_wsa,25,GOVREP22,15169
legis_wsa,25,GOVTOT22,25443
legis_wsa,25,USSDEM22,9448
legis_wsa,25,USSREP22,15870
legis_wsa,25,USSTOT22,25370
legis_wsa,25,WAGDEM22,10170
legis_wsa,25,WAGREP22,15002
legis_wsa,25,WAGTOT22,25184
legis_wsa,25,WSTDEM22,9103
legis_wsa,25,WSTREP22,15143
legis_wsa,25,WSTTOT22,24924
legis_wsa,26,GOVDEM22,10576
legis_wsa,26,GOVREP22,15100
legis_wsa,26,GOVTOT22,26009
legis_wsa,26,USSDEM22,10165
legis_wsa,26,USSREP22,15742
legis_wsa,26,USSTOT22,25972
legis_wsa,26,WAGDEM22,10398
legis_wsa,26,WAGREP22,15257
legis_wsa,26,WAGTOT22,25672
legis_wsa,26,WSTDEM22,9661
legis_wsa,26,WSTREP22,15177
legis_wsa,26,WSTTOT22,25456
legis_wsa,27,GOVDEM22,12318
legis_wsa,27,GOVREP22,15951
legis_wsa,27,GOVTOT22,28626
legis_wsa,27,USSDEM22,11701
legis_wsa,27,USSREP22,16775
legis_wsa,27,USSTOT22,28538
legis_wsa,27,WAGDEM22,12189
legis_wsa,27,WAGREP22,16033
legis_wsa,27,WAGTOT22,28245
legis_wsa,27,WSTDEM22,11202
legis_wsa,27,WSTREP22,16136
legis_wsa,27,WSTTOT22,28012
legis_wsa,28,GOVDEM22,10143
legis_wsa,28,GOVREP22,15833
legis_wsa,28,GOVTOT22,26385
legis_wsa,28,USSDEM22,9801
legis_wsa,28,USSREP22,16569
legis_wsa,28,USSTOT22,26379
legis_wsa,28,WAGDEM22,9885
legis_wsa,28,WAGREP22,16435
legis_wsa,28,WAGTOT22,26323
legis_wsa,28,WSTDEM22,9507
legis_wsa,28,WSTREP22,16059
legis_wsa,28,WSTTOT22,26230
legis_wsa,29,GOVDEM22,10011
legis_wsa,29,GOVREP22,13577
legis_wsa,29,GOVTOT22,23916
legis_wsa,29,USSDEM22,9489
legis_wsa,29,USSREP22,14393
legis_wsa,29,USSTOT22,23889
legis_wsa,29,WAGDEM22,9833
legis_wsa,29,WAGREP22,13952
legis_wsa,29,WAGTOT22,23791
legis_wsa,29,WSTDEM22,9316
legis_wsa,29,WSTREP22,13764
legis_wsa,29,WSTTOT22,23714
legis_wsa,3,GOVDEM22,12646
legis_wsa,3,GOVREP22,15548
legis_wsa,3,GOVTOT22,28476
legis_wsa,3,USSDEM22,12071
legis_wsa,3,USSREP22,16296
legis_wsa,3,USSTOT22,28394
legis_wsa,3,WAGDEM22,12545
legis_wsa,3,WAGREP22,15642
legis_wsa,3,WAGTOT22,28194
legis_wsa,3,WSTDEM22,11399
legis_wsa,3,WSTREP22,15824
legis_wsa,3,WSTTOT22,27916
legis_wsa,30,GOVDEM22,13514
legis_wsa,30,GOVREP22,16566
legis_wsa,30,GOVTOT22,30407
legis_wsa,30,USSDEM22,13060
legis_wsa,30,USSREP22,17310
legis_wsa,30,USSTOT22,30409
legis_wsa,30,WAGDEM22,13055
legis_wsa,30,WAGREP22,17145
legis_wsa,30,WAGTOT22,30212
legis_wsa,30,WSTDEM22,12499
legis_wsa,30,WSTREP22,16999
legis_wsa,30,WSTTOT22,30197
legis_wsa,31,GOVDEM22,11324
legis_wsa,31,GOVREP22,13552
legis_wsa,31,GOVTOT22,25227
legis_wsa,31,USSDEM22,10775
legis_wsa,31,USSREP22,14333
legis_wsa,31,USSTOT22,25170
legis_wsa,31,WAGDEM22,10822
legis_wsa,31,WAGREP22,14126
legis_wsa,31,WAGTOT22,24962
legis_wsa,31,WSTDEM22,10115
legis_wsa,31,WSTREP22,14000
legis_wsa,31,WSTTOT22,24730
legis_wsa,32,GOVDEM22,10212
legis_wsa,32,GOVREP22,14709
legis_wsa,32,GOVTOT22,25283
legis_wsa,32,USSDEM22,9780
legis_wsa,32,USSREP22,15418
legis_wsa,32,USSTOT22,25266
legis_wsa,32,WAGDEM22,9887
legis_wsa,32,WAGREP22,15250
legis_wsa,32,WAGTOT22,25154
legis_wsa,32,WSTDEM22,9208
legis_wsa,32,WSTREP22,15189
legis_wsa,32,WSTTOT22,24955
legis_wsa,33,GOVDEM22,13577
legis_wsa,33,GOVREP22,13611
legis_wsa,33,GOVTOT22,27506
legis_wsa,33,USSDEM22,13025
legis_wsa,33,USSREP22,14323
legis_wsa,33,USSTOT22,27398
legis_wsa,33,WAGDEM22,13110
legis_wsa,33,WAGREP22,14083
legis_wsa,33,WAGTOT22,27212
legis_wsa,33,WSTDEM22,12435
legis_wsa,33,WSTREP22,13827
legis_wsa,33,WSTTOT22,26985
legis_wsa,34,GOVDEM22,13416
legis_wsa,34,GOVREP22,18763
legis_wsa,34,GOVTOT22,32585
legis_wsa,34,USSDEM22,12754
legis_wsa,34,USSREP22,19683
legis_wsa,34,USSTOT22,32502
legis_wsa,34,WAGDEM22,13513
legis_wsa,34,WAGREP22,18897
legis_wsa,34,WAGTOT22,32423
legis_wsa,34,WSTDEM22,12317
legis_wsa,34,WSTREP22,19111
legis_wsa,34,WSTTOT22,32105
legis_wsa,35,GOVDEM22,10274
legis_wsa,35,GOVREP22,18353
legis_wsa,35,GOVTOT22,29065
legis_wsa,35,USSDEM22,9726
legis_wsa,35,USSREP22,19206
legis_wsa,35,USSTOT22,28972
legis_wsa,35,WAGDEM22,10607
legis_wsa,35,WAGREP22,18162
legis_wsa,35,WAGTOT22,28774
legis_wsa,35,WSTDEM22,9473
legis_wsa,35,WSTREP22,18364
legis_wsa,35,WSTTOT22,28558
legis_wsa,36,GOVDEM22,9219
legis_wsa,36,GOVREP22,18736
legis_wsa,36,GOVTOT22,28327
legis_wsa,36,USSDEM22,8763
legis_wsa,36,USSREP22,19475
legis_wsa,36,USSTOT22,28282
legis_wsa,36,WAGDEM22,9427
legis_wsa,36,WAGREP22,18674
legis_wsa,36,WAGTOT22,28106
legis_wsa,36,WSTDEM22,8454
legis_wsa,36,WSTREP22,18696
legis_wsa,36,WSTTOT22,27825
legis_wsa,37,GOVDEM22,13084
legis_wsa,37,GOVREP22,14915
legis_wsa,37,GOVTOT22,28324
legis_wsa,37,USSDEM22,12542
legis_wsa,37,USSREP22,15591
legis_wsa,37,USSTOT22,28171
legis_wsa,37,WAGDEM22,12603
legis_wsa,37,WAGREP22,15414
legis_wsa,37,WAGTOT22,28026
legis_wsa,37,WSTDEM22,11877
legis_wsa,37,WSTREP22,15139
legis_wsa,37,WSTTOT22,27755
legis_wsa,38,GOVDEM22,13920
legis_wsa,38,GOVREP22,16951
legis_wsa,38,GOVTOT22,31187
legis_wsa,38,USSDEM22,13250
legis_wsa,38,USSREP22,17780
legis_wsa,38,USSTOT22,31085
legis_wsa,38,WAGDEM22,13363
legis_wsa,38,WAGREP22,17478
legis_wsa,38,WAGTOT22,30848
legis_wsa,38,WSTDEM22,12552
legis_wsa,38,WSTREP22,17264
legis_wsa,38,WSTTOT22,30470
legis_wsa,39,GOVDEM22,9747
legis_wsa,39,GOVREP22,17103
legis_wsa,39,GOVTOT22,27157
legis_wsa,39,USSDEM22,9480
legis_wsa,39,USSREP22,17446
legis_wsa,39,USSTOT22,26936
legis_wsa,39,WAGDEM22,9716
legis_wsa,39,WAGREP22,17133
legis_wsa,39,WAGTOT22,26853
legis_wsa,39,WSTDEM22,8986
legis_wsa,39,WSTREP22,16884
legis_wsa,39,WSTTOT22,26556
legis_wsa,4,GOVDEM22,13905
legis_wsa,4,GOVREP22,13994
legis_wsa,4,GOVTOT22,28241
legis_wsa,4,USSDEM22,13220
legis_wsa,4,USSREP22,14886
legis_wsa,4,USSTOT22,28165
legis_wsa,4,WAGDEM22,13687
legis_wsa,4,WAGREP22,14309
legis_wsa,4,WAGTOT22,28020
legis_wsa,4,WSTDEM22,12597
legis_wsa,4,WSTREP22,14423
legis_wsa,4,WSTTOT22,27703
legis_wsa,40,GOVDEM22,9175
legis_wsa,40,GOVREP22,17431
legis_wsa,40,GOVTOT22,26937
legis_wsa,40,USSDEM22,8775
legis_wsa,40,USSREP22,18108
legis_wsa,40,USSTOT22,26925
legis_wsa,40,WAGDEM22,9266
legis_wsa,40,WAGREP22,17498
legis_wsa,40,WAGTOT22,26772
legis_wsa,40,WSTDEM22,8439
legis_wsa,40,WSTREP22,17434
legis_wsa,40,WSTTOT22,26579
legis_wsa,41,GOVDEM22,10437
legis_wsa,41,GOVREP22,14136
legis_wsa,41,GOVTOT22,24926
legis_wsa,41,USSDEM22,9916
legis_wsa,41,USSREP22,14904
legis_wsa,41,USSTOT22,24870
legis_wsa,41,WAGDEM22,10115
legis_wsa,41,WAGREP22,14570
legis_wsa,41,WAGTOT22,24700
legis_wsa,41,WSTDEM22,9364
legis_wsa,41,WSTREP22,14292
legis_wsa,41,WSTTOT22,24379
legis_wsa,42,GOVDEM22,11762
legis_wsa,42,GOVREP22,15863
legis_wsa,42,GOVTOT22,27924
legis_wsa,42,USSDEM22,11211
legis_wsa,42,USSREP22,16600
legis_wsa,42,USSTOT22,27844
legis_wsa,42,WAGDEM22,11326
legis_wsa,42,WAGREP22,16251
legis_wsa,42,WAGTOT22,27589
legis_wsa,42,WSTDEM22,10581
legis_wsa,42,WSTREP22,15933
legis_wsa,42,WSTTOT22,27316
legis_wsa,43,GOVDEM22,20867
legis_wsa,43,GOVREP22,11007
legis_wsa,43,GOVTOT22,32209
legis_wsa,43,USSDEM22,20105
legis_wsa,43,USSREP22,11904
legis_wsa,43,USSTOT22,32107
legis_wsa,43,WAGDEM22,20009
legis_wsa,43,WAGREP22,11841
legis_wsa,43,WAGTOT22,31880
legis_wsa,43,WSTDEM22,19308
legis_wsa,43,WSTREP22,11420
legis_wsa,43,WSTTOT22,31557
legis_wsa,44,GOVDEM22,14410
legis_wsa,44,GOVREP22,8345
legis_wsa,44,GOVTOT22,23027
legis_wsa,44,USSDEM22,13833
legis_wsa,44,USSREP22,9040
legis_wsa,44,USSTOT22,22915
legis_wsa,44,WAGDEM22,13754
legis_wsa,44,WAGREP22,8975
legis_wsa,44,WAGTOT22,22746
legis_wsa,44,WSTDEM22,13311
legis_wsa,44,WSTREP22,8646
legis_wsa,44,WSTTOT22,22646
legis_wsa,45,GOVDEM22,12136
legis_wsa,45,GOVREP22,8698
legis_wsa,45,GOVTOT22,21152
legis_wsa,45,USSDEM22,11611
legis_wsa,45,USSREP22,9400
legis_wsa,45,USSTOT22,21066
legis_wsa,45,WAGDEM22,11519
legis_wsa,45,WAGREP22,9349
legis_wsa,45,WAGTOT22,20880
legis_wsa,45,WSTDEM22,11125
legis_wsa,45,WSTREP22,8983
legis_wsa,45,WSTTOT22,20741
legis_wsa,46,GOVDEM22,21725
legis_wsa,46,GOVREP22,8261
legis_wsa,46,GOVTOT22,30230
legis_wsa,46,USSDEM22,21116
legis_wsa,46,USSREP22,8930
legis_wsa,46,USSTOT22,30124
legis_wsa,46,WAGDEM22,20928
legis_wsa,46,WAGREP22,9028
legis_wsa,46,WAGTOT22,29978
legis_wsa,46,WSTDEM22,20177
legis_wsa,46,WSTREP22,8859
legis_wsa,46,WSTTOT22,29652
legis_wsa,47,GOVDEM22,24714
legis_wsa,47,GOVREP22,5517
legis_wsa,47,GOVTOT22,30437
legis_wsa,47,USSDEM22,24214
legis_wsa,47,USSREP22,6120
legis_wsa,47,USSTOT22,30395
legis_wsa,47,WAGDEM22,24074
legis_wsa,47,WAGREP22,6135
legis_wsa,47,WAGTOT22,30222
legis_wsa,47,WSTDEM22,23495
legis_wsa,47,WSTREP22,5959
legis_wsa,47,WSTTOT22,29926
legis_wsa,48,GOVDEM22,27090
legis_wsa,48,GOVREP22,4165
legis_wsa,48,GOVTOT22,31425
legis_wsa,48,USSDEM22,26679
legis_wsa,48,USSREP22,4626
legis_wsa,48,USSTOT22,31375
legis_wsa,48,WAGDEM22,26553
legis_wsa,48,WAGREP22,4646
legis_wsa,48,WAGTOT22,31226
legis_wsa,48,WSTDEM22,25939
legis_wsa,48,WSTREP22,4526
legis_wsa,48,WSTTOT22,30932
legis_wsa,49,GOVDEM22,10807
legis_wsa,49,GOVREP22,12338
legis_wsa,49,GOVTOT22,23458
legis_wsa,49,USSDEM22,10170
legis_wsa,49,USSREP22,13267
legis_wsa,49,USSTOT22,23482
legis_wsa,49,WAGDEM22,10206
legis_wsa,49,WAGREP22,13023
legis_wsa,49,WAGTOT22,23248
legis_wsa,49,WSTDEM22,9758
legis_wsa,49,WSTREP22,12732
legis_wsa,49,WSTTOT22,23041
legis_wsa,5,GOVDEM22,11118
legis_wsa,5,GOVREP22,14716
legis_wsa,5,GOVTOT22,26114
legis_wsa,5,USSDEM22,10611
legis_wsa,5,USSREP22,15406
legis_wsa,5,USSTOT22,26025
legis_wsa,5,WAGDEM22,10985
legis_wsa,5,WAGREP22,14822
legis_wsa,5,WAGTOT22,25807
legis_wsa,5,WSTDEM22,10009
legis_wsa,5,WSTREP22,14885
legis_wsa,5,WSTTOT22,25550
legis_wsa,50,GOVDEM22,10211
legis_wsa,50,GOVREP22,13514
legis_wsa,50,GOVTOT22,24094
legis_wsa,50,USSDEM22,9596
legis_wsa,50,USSREP22,14444
legis_wsa,50,USSTOT22,24066
legis_wsa,50,WAGDEM22,9772
legis_wsa,50,WAGREP22,14147
legis_wsa,50,WAGTOT22,23928
legis_wsa,50,WSTDEM22,9285
legis_wsa,50,WSTREP22,13878
legis_wsa,50,WSTTOT22,23845
legis_wsa,51,GOVDEM22,13766
legis_wsa,51,GOVREP22,12469
legis_wsa,51,GOVTOT22,26546
legis_wsa,51,USSDEM22,12935
